Job ID,Crop Type,Price,Quantity,Location,Supply,Demand
0,Wheat,0.4634,497,Panema,91,157
1,Cacao,1.6572,178,Guatemala,126,114
2,Wheat,0.3805,95,Guatemala,142,99
3,Wheat,0.5029,409,Ghana,71,170
4,Coffee,4.65,427,Ivory Coast,139,102
5,Coffee,4.73,469,Panema,123,144
6,Coffee,4.75,10,Guatemala,118,130
7,Cacao,1.7555,33,Ivory Coast,127,135
8,Wheat,0.4485,201,Panema,120,125
9,Cacao,1.7547,472,Guatemala,93,127
10,Coffee,4.74,16,Panema,72,110
11,Wheat,0.4494,471,Panema,85,136
12,Cacao,1.7853,398,Ivory Coast,56,166
13,Coffee,4.75,152,Panema,100,164
14,Wheat,0.4592,340,Ghana,86,138
15,Cacao,1.7337,131,Guatemala,106,155
16,Wheat,0.5047,365,Ghana,58,141
17,Coffee,4.74,41,Guatemala,104,112
18,Corn,0.369,464,Ivory Coast,105,170
19,Cacao,1.7449,324,Ghana,96,153
20,Cacao,1.7402,438,Guatemala,89,138
21,Coffee,4.65,405,Ivory Coast,136,133
22,Cacao,1.7518,209,Ivory Coast,94,140
23,Corn,0.305,91,Ghana,94,90
24,Cacao,1.7407,198,Ghana,100,170
25,Wheat,0.5119,366,Panema,75,168
26,Cacao,1.736,41,Ivory Coast,121,149
27,Wheat,0.4534,225,Guatemala,70,90
28,Coffee,4.74,108,Guatemala,120,141
29,Corn,0.3,287,Panema,116,105
30,Wheat,0.4547,487,Panema,74,146
31,Wheat,0.3722,497,Guatemala,143,113
32,Wheat,0.4623,210,Ghana,72,130
33,Wheat,0.461,139,Ghana,143,161
34,Corn,0.376,409,Ghana,85,147
35,Wheat,0.4605,22,Ghana,94,116
36,Wheat,0.3829,241,Ghana,106,100
37,Wheat,0.4508,286,Panema,79,112
38,Coffee,4.74,314,Panema,127,142
39,Corn,0.368,69,Panema,51,97
40,Wheat,0.5123,156,Guatemala,72,156
41,Wheat,0.4523,117,Panema,97,162
42,Coffee,4.76,191,Guatemala,117,143
43,Wheat,0.4565,355,Ivory Coast,105,121
44,Cacao,1.6637,115,Panema,122,100
45,Coffee,4.74,461,Ivory Coast,143,157
46,Coffee,4.76,185,Ghana,149,163
47,Cacao,1.7549,492,Panema,104,115
48,Coffee,4.65,106,Panema,139,99
49,Coffee,4.68,95,Ghana,130,125
50,Cacao,1.748,478,Guatemala,119,167
51,Cacao,1.6631,230,Ghana,125,112
52,Wheat,0.4567,164,Ivory Coast,139,151
53,Cacao,1.6781,219,Ivory Coast,132,123
54,Coffee,4.81,263,Panema,50,103
55,Cacao,1.7873,101,Guatemala,66,134
56,Corn,0.39,288,Panema,94,140
57,Coffee,4.81,294,Guatemala,75,167
58,Wheat,0.4572,378,Panema,80,116
59,Cacao,1.6607,260,Panema,122,115
60,Wheat,0.3775,35,Ghana,142,104
61,Coffee,4.73,426,Ghana,106,156
62,Cacao,1.7303,141,Panema,72,119
63,Coffee,4.76,470,Ghana,109,157
64,Cacao,1.6537,471,Ivory Coast,129,106
65,Coffee,4.74,193,Ivory Coast,81,151
66,Coffee,4.74,69,Guatemala,71,122
67,Wheat,0.4592,133,Guatemala,62,122
68,Wheat,0.4508,347,Panema,87,136
69,Cacao,1.7361,32,Panema,130,155
70,Corn,0.431,427,Ghana,61,144
71,Coffee,4.73,222,Ivory Coast,93,152
72,Coffee,4.75,293,Guatemala,57,99
73,Coffee,4.76,203,Panema,124,143
74,Cacao,1.6785,100,Panema,108,104
75,Cacao,1.7405,428,Ivory Coast,86,118
76,Cacao,1.7389,146,Panema,103,115
77,Coffee,4.75,471,Ghana,90,166
78,Cacao,1.7472,414,Ivory Coast,100,114
79,Coffee,4.74,363,Guatemala,129,148
80,Cacao,1.7993,219,Ivory Coast,56,136
81,Wheat,0.4616,390,Guatemala,93,159
82,Corn,0.371,356,Ghana,76,126
83,Cacao,1.7808,319,Ghana,67,141
84,Cacao,1.7396,72,Guatemala,143,150
85,Coffee,4.65,26,Ghana,149,97
86,Wheat,0.3767,384,Ivory Coast,113,109
87,Corn,0.377,400,Ghana,118,125
88,Corn,0.384,178,Ivory Coast,103,167
89,Coffee,4.74,364,Guatemala,104,157
90,Corn,0.381,281,Ivory Coast,110,155
91,Coffee,4.76,450,Guatemala,102,108
92,Corn,0.389,132,Panema,90,104
93,Coffee,4.65,217,Guatemala,119,101
94,Coffee,4.67,314,Ivory Coast,144,137
95,Corn,0.372,459,Guatemala,66,103
96,Coffee,4.73,134,Ghana,94,122
97,Coffee,4.75,48,Panema,109,132
98,Coffee,4.66,81,Ghana,127,92
99,Wheat,0.4637,415,Panema,91,152
100,Cacao,1.7449,150,Ghana,66,101
101,Corn,0.388,10,Panema,66,101
102,Cacao,1.7383,100,Ghana,139,156
103,Coffee,4.74,225,Guatemala,92,150
